problem,method,status,iterations,f_eval,g_eval,h_eval,cpu_sec,f_final,grad_inf,error
P11_exponential_100,GradientDescentW,ok,18,23,24,0,0.0002162919845432043,-0.20557280899403352,2.5542728557814698e-06,
P11_exponential_100,Newton,ok,13,31,32,13,0.0015941249439492822,-0.20557245965841175,1.8313501630430832e-06,
P11_exponential_100,NewtonW,ok,13,31,32,13,0.0016092091100290418,-0.20557245965841175,1.8313501630430832e-06,
P11_exponential_100,TRNewtonCG,ok,13,14,15,13,0.0006657919147983193,-0.20557238933350308,2.1014152777095254e-06,
P11_exponential_100,TRSR1CG,ok,18,19,20,0,0.0009366249432787299,-0.2055724053677582,2.227399839516142e-06,
P11_exponential_100,BFGS,ok,10,14,15,0,0.0005827500717714429,-0.20557280899083802,4.644020501487489e-09,
P11_exponential_100,BFGSW,ok,6,14,15,0,0.00044654100202023983,-0.20557280899072836,3.4399881199131954e-07,
P11_exponential_100,DFP,ok,10,14,15,0,0.0004333329852670431,-0.20557280899083535,4.671142916912174e-09,
P11_exponential_100,DFPW,ok,6,14,15,0,0.0003458750434219837,-0.20557280899072863,3.3908226521051077e-07,
P12_genhumps_5,GradientDescent,ok,189,350,351,0,0.003176292055286467,9.282795543544181e-08,9.634726534763607e-05,
P12_genhumps_5,GradientDescentW,ok,218,502,503,0,0.0048101251013576984,9.231658310184787e-08,9.608151908568874e-05,
P12_genhumps_5,Newton,ok,69,94,95,69,0.0031124999513849616,1.1121406921733607e-14,6.630352403522824e-08,
P12_genhumps_5,NewtonW,ok,60,111,112,60,0.00305649999063462,2.054720146225381e-09,2.4157191989840546e-05,
P12_genhumps_5,TRNewtonCG,ok,103,104,83,103,0.0026957920053973794,1.343216793455525e-13,2.2041277723153324e-07,
P12_genhumps_5,TRSR1CG,ok,135,136,101,0,0.0033493749797344208,5.975935018818012e-09,4.45670175149947e-05,
P12_genhumps_5,BFGS,ok,59,86,87,0,0.001294667017646134,8.161019303397273e-08,0.0001016529376535986,
