method,c1_ls,c2_ls,success_rate,avg_iterations,avg_f_eval,avg_g_eval,avg_cpu_sec
DFPW,0.001,0.6,1.0,130.08333333333334,294.3333333333333,295.3333333333333,0.33493607500001116
DFPW,0.001,0.7,1.0,125.41666666666667,292.4166666666667,293.4166666666667,0.33188128333313216
DFPW,0.001,0.8,1.0,126.08333333333333,315.1666666666667,316.1666666666667,0.3323902333334748
DFPW,0.001,0.9,1.0,125.25,272.9166666666667,273.9166666666667,0.3341747666666682
DFPW,0.001,0.99,1.0,126.08333333333333,269.0833333333333,270.0833333333333,0.33153554999974705
DFPW,0.005,0.1,1.0,44.416666666666664,205.0,206.0,0.33019564999995055
DFPW,0.005,0.2,1.0,111.58333333333333,1080.75,1081.75,0.3441639999997885
DFPW,0.005,0.3,1.0,42.916666666666664,190.58333333333334,191.58333333333334,0.32930526666677906
DFPW,0.005,0.4,1.0,47.916666666666664,205.16666666666666,206.16666666666666,0.32927757499995397
DFPW,0.005,0.5,1.0,124.0,678.8333333333334,679.8333333333334,0.33855144166667134
DFPW,0.005,0.6,1.0,130.08333333333334,294.3333333333333,295.3333333333333,0.33371550000007727
DFPW,0.005,0.7,1.0,125.41666666666667,292.4166666666667,293.4166666666667,0.32963107499987626
DFPW,0.005,0.8,1.0,126.08333333333333,298.1666666666667,299.1666666666667,0.33462513333294436
DFPW,0.005,0.9,1.0,125.25,272.9166666666667,273.9166666666667,0.3357134083332009
DFPW,0.005,0.99,1.0,126.08333333333333,269.0833333333333,270.0833333333333,0.3308444666666522
DFPW,0.01,0.1,1.0,44.416666666666664,205.0,206.0,0.3327903583335683
DFPW,0.01,0.2,1.0,111.58333333333333,1080.75,1081.75,0.3440562000002198
DFPW,0.01,0.3,1.0,42.916666666666664,190.58333333333334,191.58333333333334,0.32576926666646006
DFPW,0.01,0.4,1.0,47.916666666666664,205.16666666666666,206.16666666666666,0.32820012500011825
DFPW,0.01,0.5,1.0,124.0,678.8333333333334,679.8333333333334,0.3432769166665821
DFPW,0.01,0.6,1.0,130.08333333333334,294.3333333333333,295.3333333333333,0.334067166666955
DFPW,0.01,0.7,1.0,125.41666666666667,292.4166666666667,293.4166666666667,0.330152058333321
DFPW,0.01,0.8,1.0,126.08333333333333,298.1666666666667,299.1666666666667,0.3337991749996642
DFPW,0.01,0.9,1.0,125.25,272.9166666666667,273.9166666666667,0.3321292750001703
DFPW,0.01,0.99,1.0,126.08333333333333,269.0833333333333,270.0833333333333,0.3712482583335562
DFPW,0.05,0.1,1.0,44.416666666666664,228.41666666666666,229.41666666666666,0.37837487499988737
DFPW,0.05,0.2,1.0,111.41666666666667,1102.6666666666667,1103.6666666666667,0.41371599999971903
DFPW,0.05,0.3,1.0,44.333333333333336,225.0,226.0,0.3944234416667314
DFPW,0.05,0.4,1.0,53.333333333333336,244.16666666666666,245.16666666666666,0.3862817166662656
DFPW,0.05,0.5,1.0,77.33333333333333,368.4166666666667,369.4166666666667,0.4130898166664944
DFPW,0.05,0.6,1.0,147.58333333333334,316.1666666666667,317.1666666666667,0.4065802333335948
DFPW,0.05,0.7,1.0,142.91666666666666,303.5,304.5,0.4067613916663504
DFPW,0.05,0.8,1.0,128.0,296.75,297.75,0.3984745416667768
DFPW,0.05,0.9,1.0,128.33333333333334,279.4166666666667,280.4166666666667,0.32423517500016413
DFPW,0.05,0.99,1.0,129.16666666666666,276.0,277.0,0.3158941583333217
GradientDescentW,1e-05,0.1,1.0,311.1666666666667,2811.5833333333335,2812.5833333333335,0.24738279999958954
GradientDescentW,1e-05,0.2,1.0,311.1666666666667,2811.0,2812.0,0.23976201666679722
GradientDescentW,1e-05,0.3,1.0,315.0,2821.9166666666665,2822.9166666666665,0.2462634750001295
GradientDescentW,1e-05,0.4,1.0,316.0833333333333,2821.9166666666665,2822.9166666666665,0.24511072500005562
GradientDescentW,1e-05,0.5,1.0,316.8333333333333,2824.9166666666665,2825.9166666666665,0.24626100833332507
GradientDescentW,1e-05,0.6,1.0,316.5,2818.4166666666665,2819.4166666666665,0.2432565083334642
GradientDescentW,1e-05,0.7,1.0,313.6666666666667,2810.9166666666665,2811.9166666666665,0.24095215000033932
GradientDescentW,1e-05,0.8,1.0,323.8333333333333,2838.8333333333335,2839.8333333333335,0.26503467500000016
GradientDescentW,1e-05,0.9,1.0,328.4166666666667,2845.5,2846.5,0.282679691666696
GradientDescentW,1e-05,0.99,1.0,326.25,2836.75,2837.75,0.28096622500000495
GradientDescentW,5e-05,0.1,1.0,310.8333333333333,2811.25,2812.25,0.2818359833334701
GradientDescentW,5e-05,0.2,1.0,310.9166666666667,2810.5,2811.5,0.28757300833361416
GradientDescentW,5e-05,0.3,1.0,314.75,2821.4166666666665,2822.4166666666665,0.2864678583332534
GradientDescentW,5e-05,0.4,1.0,315.8333333333333,2821.4166666666665,2822.4166666666665,0.2683721583336289
GradientDescentW,5e-05,0.5,1.0,317.0833333333333,2824.6666666666665,2825.6666666666665,0.2634336166668921
GradientDescentW,5e-05,0.6,1.0,316.1666666666667,2817.5833333333335,2818.5833333333335,0.2666963833335103
