problem,method,c1_ls,c2_ls,status,iterations,f_eval,g_eval,h_eval,cpu_sec,f_final,grad_inf,error
P1_quad_10_10,NewtonW,5e-05,0.99,ok,1,2,3,1,3.479999941191636e-05,-71.42912991377418,5.329070518200751e-15,
P1_quad_10_10,NewtonW,0.0001,0.1,ok,1,2,3,1,3.429999924264848e-05,-71.42912991377418,5.329070518200751e-15,
P1_quad_10_10,NewtonW,0.0001,0.2,ok,1,2,3,1,3.4300001061637886e-05,-71.42912991377418,5.329070518200751e-15,
P1_quad_10_10,NewtonW,0.0001,0.3,ok,1,2,3,1,3.35000004270114e-05,-71.42912991377418,5.329070518200751e-15,
P1_quad_10_10,NewtonW,0.0001,0.4,ok,1,2,3,1,3.429999924264848e-05,-71.42912991377418,5.329070518200751e-15,
P1_quad_10_10,NewtonW,0.0001,0.5,ok,1,2,3,1,3.3299998904112726e-05,-71.42912991377418,5.329070518200751e-15,
P1_quad_10_10,NewtonW,0.0001,0.6,ok,1,2,3,1,3.35000004270114e-05,-71.42912991377418,5.329070518200751e-15,
P1_quad_10_10,NewtonW,0.0001,0.7,ok,1,2,3,1,3.470000046945643e-05,-71.42912991377418,5.329070518200751e-15,
P1_quad_10_10,NewtonW,0.0001,0.8,ok,1,2,3,1,3.389999983482994e-05,-71.42912991377418,5.329070518200751e-15,
P1_quad_10_10,NewtonW,0.0001,0.9,ok,1,2,3,1,3.370000013092067e-05,-71.42912991377418,5.329070518200751e-15,
P1_quad_10_10,NewtonW,0.0001,0.99,ok,1,2,3,1,3.509999987727497e-05,-71.42912991377418,5.329070518200751e-15,
P1_quad_10_10,NewtonW,0.0005,0.1,ok,1,2,3,1,3.509999987727497e-05,-71.42912991377418,5.329070518200751e-15,
P1_quad_10_10,NewtonW,0.0005,0.2,ok,1,2,3,1,0.00015720000010333024,-71.42912991377418,5.329070518200751e-15,
P1_quad_10_10,NewtonW,0.0005,0.3,ok,1,2,3,1,4.199999966658652e-05,-71.42912991377418,5.329070518200751e-15,
P1_quad_10_10,NewtonW,0.0005,0.4,ok,1,2,3,1,3.51999988197349e-05,-71.42912991377418,5.329070518200751e-15,
P1_quad_10_10,NewtonW,0.0005,0.5,ok,1,2,3,1,3.290000131528359e-05,-71.42912991377418,5.329070518200751e-15,
P1_quad_10_10,NewtonW,0.0005,0.6,ok,1,2,3,1,3.3099999200203456e-05,-71.42912991377418,5.329070518200751e-15,
P1_quad_10_10,NewtonW,0.0005,0.7,ok,1,2,3,1,8.850000085658394e-05,-71.42912991377418,5.329070518200751e-15,
P1_quad_10_10,NewtonW,0.0005,0.8,ok,1,2,3,1,4.000000080850441e-05,-71.42912991377418,5.329070518200751e-15,
P1_quad_10_10,NewtonW,0.0005,0.9,ok,1,2,3,1,4.0099999750964344e-05,-71.42912991377418,5.329070518200751e-15,
P1_quad_10_10,NewtonW,0.0005,0.99,ok,1,2,3,1,3.859999924316071e-05,-71.42912991377418,5.329070518200751e-15,
P1_quad_10_10,NewtonW,0.001,0.1,ok,1,2,3,1,4.220000118948519e-05,-71.42912991377418,5.329070518200751e-15,
P1_quad_10_10,NewtonW,0.001,0.2,ok,1,2,3,1,3.420000030018855e-05,-71.42912991377418,5.329070518200751e-15,
P1_quad_10_10,NewtonW,0.001,0.3,ok,1,2,3,1,3.4300001061637886e-05,-71.42912991377418,5.329070518200751e-15,
P1_quad_10_10,NewtonW,0.001,0.4,ok,1,2,3,1,3.4199998481199145e-05,-71.42912991377418,5.329070518200751e-15,
P1_quad_10_10,NewtonW,0.001,0.5,ok,1,2,3,1,3.280000055383425e-05,-71.42912991377418,5.329070518200751e-15,
P1_quad_10_10,NewtonW,0.001,0.6,ok,1,2,3,1,3.310000101919286e-05,-71.42912991377418,5.329070518200751e-15,
P1_quad_10_10,NewtonW,0.001,0.7,ok,1,2,3,1,3.340000148455147e-05,-71.42912991377418,5.329070518200751e-15,
P1_quad_10_10,NewtonW,0.001,0.8,ok,1,2,3,1,3.420000030018855e-05,-71.42912991377418,5.329070518200751e-15,
P1_quad_10_10,NewtonW,0.001,0.9,ok,1,2,3,1,3.2899999496294186e-05,-71.42912991377418,5.329070518200751e-15,
P1_quad_10_10,NewtonW,0.001,0.99,ok,1,2,3,1,3.2899999496294186e-05,-71.42912991377418,5.329070518200751e-15,
P1_quad_10_10,NewtonW,0.005,0.1,ok,1,2,3,1,3.310000101919286e-05,-71.42912991377418,5.329070518200751e-15,
P1_quad_10_10,NewtonW,0.005,0.2,ok,1,2,3,1,3.259999903093558e-05,-71.42912991377418,5.329070518200751e-15,
P1_quad_10_10,NewtonW,0.005,0.3,ok,1,2,3,1,3.2699999792384915e-05,-71.42912991377418,5.329070518200751e-15,
P1_quad_10_10,NewtonW,0.005,0.4,ok,1,2,3,1,3.2300000384566374e-05,-71.42912991377418,5.329070518200751e-15,
P1_quad_10_10,NewtonW,0.005,0.5,ok,1,2,3,1,3.2699999792384915e-05,-71.42912991377418,5.329070518200751e-15,
P1_quad_10_10,NewtonW,0.005,0.6,ok,1,2,3,1,3.220000144210644e-05,-71.42912991377418,5.329070518200751e-15,
P1_quad_10_10,NewtonW,0.005,0.7,ok,1,2,3,1,3.240000114601571e-05,-71.42912991377418,5.329070518200751e-15,
P1_quad_10_10,NewtonW,0.005,0.8,ok,1,2,3,1,3.4300001061637886e-05,-71.42912991377418,5.329070518200751e-15,
P1_quad_10_10,NewtonW,0.005,0.9,ok,1,2,3,1,3.310000101919286e-05,-71.42912991377418,5.329070518200751e-15,
P1_quad_10_10,NewtonW,0.005,0.99,ok,1,2,3,1,3.2699999792384915e-05,-71.42912991377418,5.329070518200751e-15,
P1_quad_10_10,NewtonW,0.01,0.1,ok,1,2,3,1,3.319999996165279e-05,-71.42912991377418,5.329070518200751e-15,
P1_quad_10_10,NewtonW,0.01,0.2,ok,1,2,3,1,3.2100000680657104e-05,-71.42912991377418,5.329070518200751e-15,
P1_quad_10_10,NewtonW,0.01,0.3,ok,1,2,3,1,3.239999932702631e-05,-71.42912991377418,5.329070518200751e-15,
P1_quad_10_10,NewtonW,0.01,0.4,ok,1,2,3,1,3.2100000680657104e-05,-71.42912991377418,5.329070518200751e-15,
P1_quad_10_10,NewtonW,0.01,0.5,ok,1,2,3,1,3.220000144210644e-05,-71.42912991377418,5.329070518200751e-15,
P1_quad_10_10,NewtonW,0.01,0.6,ok,1,2,3,1,3.20999988616677e-05,-71.42912991377418,5.329070518200751e-15,
P1_quad_10_10,NewtonW,0.01,0.7,ok,1,2,3,1,3.189999915775843e-05,-71.42912991377418,5.329070518200751e-15,
P1_quad_10_10,NewtonW,0.01,0.8,ok,1,2,3,1,3.2500000088475645e-05,-71.42912991377418,5.329070518200751e-15,
P1_quad_10_10,NewtonW,0.01,0.9,ok,1,2,3,1,3.249999826948624e-05,-71.42912991377418,5.329070518200751e-15,
P1_quad_10_10,NewtonW,0.01,0.99,ok,1,2,3,1,3.2500000088475645e-05,-71.42912991377418,5.329070518200751e-15,
P1_quad_10_10,NewtonW,0.05,0.1,ok,1,2,3,1,3.219999962311704e-05,-71.42912991377418,5.329070518200751e-15,
P1_quad_10_10,NewtonW,0.05,0.2,ok,1,2,3,1,3.190000097674783e-05,-71.42912991377418,5.329070518200751e-15,
P1_quad_10_10,NewtonW,0.05,0.3,ok,1,2,3,1,3.199999991920777e-05,-71.42912991377418,5.329070518200751e-15,
P1_quad_10_10,NewtonW,0.05,0.4,ok,1,2,3,1,3.2500000088475645e-05,-71.42912991377418,5.329070518200751e-15,
P1_quad_10_10,NewtonW,0.05,0.5,ok,1,2,3,1,3.2100000680657104e-05,-71.42912991377418,5.329070518200751e-15,
P1_quad_10_10,NewtonW,0.05,0.6,ok,1,2,3,1,3.239999932702631e-05,-71.42912991377418,5.329070518200751e-15,
P1_quad_10_10,NewtonW,0.05,0.7,ok,1,2,3,1,3.260000084992498e-05,-71.42912991377418,5.329070518200751e-15,
P1_quad_10_10,NewtonW,0.05,0.8,ok,1,2,3,1,3.1800000215298496e-05,-71.42912991377418,5.329070518200751e-15,
P1_quad_10_10,NewtonW,0.05,0.9,ok,1,2,3,1,3.219999962311704e-05,-71.42912991377418,5.329070518200751e-15,
P1_quad_10_10,NewtonW,0.05,0.99,ok,1,2,3,1,3.240000114601571e-05,-71.42912991377418,5.329070518200751e-15,
P1_quad_10_10,BFGSW,1e-05,0.1,ok,16,25,26,0,0.00039850000030128285,-71.42912991353408,1.9175286108286116e-05,
P1_quad_10_10,BFGSW,1e-05,0.2,ok,16,25,26,0,0.0003614000015659258,-71.42912991353408,1.9175286108286116e-05,
P1_quad_10_10,BFGSW,1e-05,0.3,ok,16,25,26,0,0.0005363000000215834,-71.42912991353408,1.9175286108286116e-05,
P1_quad_10_10,BFGSW,1e-05,0.4,ok,16,25,26,0,0.0005579000007855939,-71.42912991353408,1.9175286108286116e-05,
P1_quad_10_10,BFGSW,1e-05,0.5,ok,16,25,26,0,0.0003944000000046799,-71.42912991353408,1.9175286108286116e-05,
P1_quad_10_10,BFGSW,1e-05,0.6,ok,16,25,26,0,0.00038329999915731605,-71.42912991353408,1.9175286108286116e-05,
P1_quad_10_10,BFGSW,1e-05,0.7,ok,16,25,26,0,0.0003664999985630857,-71.42912991353408,1.9175286108286116e-05,
P1_quad_10_10,BFGSW,1e-05,0.8,ok,16,25,26,0,0.0004994999999325955,-71.42912991353408,1.9175286108286116e-05,
P1_quad_10_10,BFGSW,1e-05,0.9,ok,16,25,26,0,0.0003612000000430271,-71.42912991353408,1.9175286108286116e-05,
P1_quad_10_10,BFGSW,1e-05,0.99,ok,16,25,26,0,0.0003594999998313142,-71.42912991353408,1.9175286108286116e-05,
P1_quad_10_10,BFGSW,5e-05,0.1,ok,16,25,26,0,0.0003558999997039791,-71.42912991353408,1.9175286108286116e-05,
P1_quad_10_10,BFGSW,5e-05,0.2,ok,16,25,26,0,0.0003632000007200986,-71.42912991353408,1.9175286108286116e-05,
P1_quad_10_10,BFGSW,5e-05,0.3,ok,16,25,26,0,0.00035630000093078706,-71.42912991353408,1.9175286108286116e-05,
P1_quad_10_10,BFGSW,5e-05,0.4,ok,16,25,26,0,0.00035510000088834204,-71.42912991353408,1.9175286108286116e-05,
P1_quad_10_10,BFGSW,5e-05,0.5,ok,16,25,26,0,0.0003557999989425298,-71.42912991353408,1.9175286108286116e-05,
P1_quad_10_10,BFGSW,5e-05,0.6,ok,16,25,26,0,0.000357599999915692,-71.42912991353408,1.9175286108286116e-05,
P1_quad_10_10,BFGSW,5e-05,0.7,ok,16,25,26,0,0.00037489999886020087,-71.42912991353408,1.9175286108286116e-05,
P1_quad_10_10,BFGSW,5e-05,0.8,ok,16,25,26,0,0.0003567000003386056,-71.42912991353408,1.9175286108286116e-05,
P1_quad_10_10,BFGSW,5e-05,0.9,ok,16,25,26,0,0.0003541999994922662,-71.42912991353408,1.9175286108286116e-05,
P1_quad_10_10,BFGSW,5e-05,0.99,ok,16,25,26,0,0.0003677000004245201,-71.42912991353408,1.9175286108286116e-05,
P1_quad_10_10,BFGSW,0.0001,0.1,ok,16,25,26,0,0.00036610000097425655,-71.42912991353408,1.9175286108286116e-05,
P1_quad_10_10,BFGSW,0.0001,0.2,ok,16,25,26,0,0.00036019999970449135,-71.42912991353408,1.9175286108286116e-05,
P1_quad_10_10,BFGSW,0.0001,0.3,ok,16,25,26,0,0.000637700000879704,-71.42912991353408,1.9175286108286116e-05,
P1_quad_10_10,BFGSW,0.0001,0.4,ok,16,25,26,0,0.0007562000009784242,-71.42912991353408,1.9175286108286116e-05,
P1_quad_10_10,BFGSW,0.0001,0.5,ok,16,25,26,0,0.0003844999991997611,-71.42912991353408,1.9175286108286116e-05,
P1_quad_10_10,BFGSW,0.0001,0.6,ok,16,25,26,0,0.00036809999983233865,-71.42912991353408,1.9175286108286116e-05,
P1_quad_10_10,BFGSW,0.0001,0.7,ok,16,25,26,0,0.0005049999999755528,-71.42912991353408,1.9175286108286116e-05,
P1_quad_10_10,BFGSW,0.0001,0.8,ok,16,25,26,0,0.00036580000050889794,-71.42912991353408,1.9175286108286116e-05,
P1_quad_10_10,BFGSW,0.0001,0.9,ok,16,25,26,0,0.0003555000002961606,-71.42912991353408,1.9175286108286116e-05,
P1_quad_10_10,BFGSW,0.0001,0.99,ok,16,25,26,0,0.0003572000005078735,-71.42912991353408,1.9175286108286116e-05,
P1_quad_10_10,BFGSW,0.0005,0.1,ok,16,25,26,0,0.00035180000122636557,-71.42912991353408,1.9175286108286116e-05,
P1_quad_10_10,BFGSW,0.0005,0.2,ok,16,25,26,0,0.0003676999986055307,-71.42912991353408,1.9175286108286116e-05,
P1_quad_10_10,BFGSW,0.0005,0.3,ok,16,25,26,0,0.0003567000003386056,-71.42912991353408,1.9175286108286116e-05,
P1_quad_10_10,BFGSW,0.0005,0.4,ok,16,25,26,0,0.0003527999997459119,-71.42912991353408,1.9175286108286116e-05,
P1_quad_10_10,BFGSW,0.0005,0.5,ok,16,25,26,0,0.000352700000803452,-71.42912991353408,1.9175286108286116e-05,
P1_quad_10_10,BFGSW,0.0005,0.6,ok,16,25,26,0,0.0003496999997878447,-71.42912991353408,1.9175286108286116e-05,
P1_quad_10_10,BFGSW,0.0005,0.7,ok,16,25,26,0,0.0004661999992094934,-71.42912991353408,1.9175286108286116e-05,
P1_quad_10_10,BFGSW,0.0005,0.8,ok,16,25,26,0,0.00038689999928465113,-71.42912991353408,1.9175286108286116e-05,
P1_quad_10_10,BFGSW,0.0005,0.9,ok,16,25,26,0,0.0003675999996630708,-71.42912991353408,1.9175286108286116e-05,
P1_quad_10_10,BFGSW,0.0005,0.99,ok,16,25,26,0,0.00035910000042349566,-71.42912991353408,1.9175286108286116e-05,
P1_quad_10_10,BFGSW,0.001,0.1,ok,16,25,26,0,0.0003519000001688255,-71.42912991353408,1.9175286108286116e-05,
